Index (unused),Name,Description,L2 Description,L3 Description,Infinite Stacking
0,High Stomp,Stomp on an enemy from above.,,,
1,Focus,Increases your attack power for your next attack by 2.,+3 attack,+6 attack,"`+<var,2> attack"
2,Multistomp,Stomp on all enemies in a row.,,,"Does stomp + <var,2,-2> damage"
3,Electro Stomp,Jump on an enemy with electric element. Ignores all contact hazards. (Air/Electric damage pierces defense except for specifically air/electric defense.),Bonus damage based on target defense. Inflicts Defense Down 2 for 3 turns,,"Bonus damage based on target defense. Inflicts Defense Down <var,2,-2> for 3 turns. Does stomp + <var,2,-4> base damage."
4,Taunt,Makes all enemies berserk and makes them target the user.,,,"Inflicts <var,2,1> turns of Berserk."
5,Paralyze Stomp,Jump on an enemy with electric element and paralyze it. Ignores all contact hazards. Paralyzing an enemy will halve its attack power.,,,"Inflicts <var,2,1> turns of Paralyze."
6,Flame Stomp,Jump on an enemy with flame element. (Fire damage gets boosted up to +1.0x based on how low your HP percentage is.),Inflicts Sunder 3 at the end of your turn.,,"Inflicts Sunder <var,1,2> at the end of your turn. Base damage is stomp + <var,2>"
7,Double Stomp,Jump on an enemy twice. Base hit is stomp + 1. Second hit is 0.75x as strong.,"Hits 3 times, but 3rd hit is x0.75 of the 2nd hit.",,"Hits <var,1,1> times, but each hit is 0.75x as strong as the last hit."
8,Overstomp,Stomp an enemy a little too hard. (Deals recoil damage equal to base stomp power),,,"Damage dealt is stomp + <var,5,7>, recoil damage is stomp + <var,3,-3>"
9,Smart Stomp,"Stomp on an enemy and inflict the status they are weakest to. (Highest turn count, but only tries to inflict statuses that the enemy is currently susceptible to.)",,,"Inflicts <var,2,1> turns of status."
10,Team Quake,(Requires Luna) Deals massive damage to all grounded enemies 3 times. Each subsequent hit is 0.75x as strong.,Hits 5 times.,,"Hits <var,2,1> times."
11,Egg Toss,Lay an egg and use it immediately (either throwing it at an enemy or using it on yourself.),,,"Lay <var,1> eggs."
12,Slash,"Slash an enemy. Pierces 1 defense. (Defense is treated as if it was lowered by 1, if defense is at least 1)",,,
13,Multislash,"Slash an enemy with multiple times. Hits twice, first hit is base sword damage + 1",4 hits.,6 hits.,"<var,2> hits."
14,Slip Slash,Slip past grounded enemies to hit a target behind them. Deals damage to enemies that get passed.,"Does 1 more to passed enemies, 2 more to the target.",,"Does slash + <var,1,-3> damage to passed enemies, slash + <var,1,-1> to the target."
15,Poison Slash,Slash an enemy and inflict Poison.,,,"Inflicts <var,2,1> turns of Poison."
16,Precise Stab,"Stab an enemy with water element. (Water damage is stronger when the user is at high HP, up to a +0.66x boost.)",Element damage formula changes: Damage boosting is based on the whole party's average HP percentage. ,,"Element damage formula changes: Damage boosting is based on the whole party's average HP percentage. Base damage is slash + <var,2,3>."
17,Sword Discharge,Shoot a lightning bolt that can hit any position. (Air/Electric damage pierces defense.),,,"Does slash + <var,4,-1> base damage."
18,Sword Dance,A special dance that can hit any grounded enemy and preserves Focus (Focus is not lost after this attack.) Also switches your position around.,,,"Does slash + <var,3,-3> base damage and gives you <var,2> Focus."
19,Boomerang Slash,Throw your sword out to hit any position. Hits twice. Returning hit is stronger.,,,"Does slash + <var,2,-2> damage on the first hit, <var,2,-1> on the second hit."
20,Dark Slash,"Slash an enemy with dark element. (Dark type damage is stronger against enemies at low hp, up to a +1.0x boost.)",Element damage formula changes: Bonus damage based on delta hp percentages.,,"Element damage formula changes: Bonus damage based on delta hp percentages. Does slash + <var,3,3> base damage."
21,Aetherize,"Become ethereal for 1 turn, preventing most attacks from hitting you. (Also costs an extra action to all targets)",Targets both.,"Targets both, does not inflict Cooldown.","Targets both, does not inflict Cooldown. Gives you <var,1,-3> turns of Ethereal."
22,Flame Bat,Launch a flaming ball that can hit any position. Refunds your turn if it hits and action command is successful. Action command difficulty increases the more actions you have taken. (Fire damage gets boosted up to 1.0x based on how low your HP percentage is.),,,"Does ceil(slash/2) + <var,2,-2> base damage."
23,Astral Wall,Protects you from losing more than 25% of your max hp of damage in a single turn. Failed action command results it in getting capped at half max HP instead. Gets removed at the end of turn if damage is capped.,Targets both,"Targets both, applies Astral Recovery for 3 turns","Targets both, applies the effect and Astral Recovery for <var,1> turns. Protects you from losing up to (1 / <var,1,1>) of your Max HP."
